Created By,Host ID,Host Name,Host MAC,Host Desc,Image Name,Image Path,Start Date,Start Time,End Date,End Time,Duration,Deploy/Capture,Tempo
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,18:47:09,2025-02-19,18:57:55,10 minutes 46 seconds,Deploy,00:10:46
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,19:01:36,2025-02-19,19:11:52,10 minutes 16 seconds,Deploy,00:10:16
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,19:14:59,2025-02-19,19:25:31,10 minutes 32 seconds,Deploy,00:10:32
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,19:31:27,2025-02-19,19:43:01,11 minutes 34 seconds,Deploy,00:11:34
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,19:44:47,2025-02-19,19:55:45,10 minutes 58 seconds,Deploy,00:10:58
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,20:01:03,2025-02-19,20:12:24,11 minutes 21 seconds,Deploy,00:11:21
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,20:31:35,2025-02-19,20:43:20,11 minutes 45 seconds,Deploy,00:11:45
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,20:57:51,2025-02-19,21:09:29,11 minutes 38 seconds,Deploy,00:11:38
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,21:20:27,2025-02-19,21:32:08,11 minutes 41 seconds,Deploy,00:11:41
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,21:38:33,2025-02-19,21:50:36,12 minutes 3 seconds,Deploy,00:12:03
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,21:52:54,2025-02-19,22:04:57,12 minutes 3 seconds,Deploy,00:12:03
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,22:07:10,2025-02-19,22:18:00,10 minutes 50 seconds,Deploy,00:10:50
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,22:51:33,2025-02-19,23:03:37,12 minutes 4 seconds,Deploy,00:12:04
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-19,23:13:29,2025-02-19,23:24:13,10 minutes 44 seconds,Deploy,00:10:44
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-20,10:03:33,2025-02-20,10:14:36,11 minutes 3 seconds,Deploy,00:11:03
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-20,10:26:51,2025-02-20,10:37:50,10 minutes 59 seconds,Deploy,00:10:59
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-20,10:46:40,2025-02-20,10:57:46,11 minutes 6 seconds,Deploy,00:11:06
fog,2,C1,bc:24:11:69:47:b5,"Created by FOG Reg on February 4, 2025, 5:45 pm",Deb-Rodrigo-com-IMG,Not Valid,2025-02-20,10:58:52,2025-02-20,11:09:08,10 minutes 16 seconds,Deploy,00:10:16
