Host Name,FOG,rsync,P2P
C1,00:11:44,00:08:12,00:42:01
C1,00:12:04,00:08:10,00:38:21
C1,00:12:18,00:08:12,00:41:53
C1,00:12:12,00:08:20,00:45:24
C1,00:11:03,00:08:12,00:42:39
C1,00:11:25,00:08:12,00:41:24
C1,00:11:48,00:08:10,00:44:46
C1,00:15:25,00:08:10,00:45:59
C1,00:13:14,00:08:10,00:43:49
C1,00:12:07,00:08:12,00:40:30
C1,00:12:16,00:08:11,00:38:26
C1,00:12:19,00:08:12,00:44:44
C1,00:12:16,00:08:11,00:44:24
C1,00:13:11,00:08:11,00:43:03
C1,00:13:08,00:08:06,00:41:46
C1,00:13:37,00:08:11,00:39:19
C1,00:12:13,00:08:11,00:43:33
C1,00:12:18,00:08:10,00:42:03
C1,00:12:18,00:08:11,00:41:49
C1,00:13:33,00:08:06,00:44:43
C1,00:12:19,00:08:11,00:46:02
C1,00:11:00,00:08:11,00:42:30
C1,00:11:25,00:08:11,00:39:41
C1,00:11:33,00:08:10,00:44:55
C1,00:13:27,00:08:11,00:37:24
C1,00:12:59,00:08:11,00:42:10
C1,00:11:04,00:08:11,00:44:57
C1,00:11:20,00:08:11,00:37:08
C1,00:11:31,00:08:11,00:40:07
C1,00:11:43,00:08:12,00:37:30
C2,00:10:53,00:08:08,00:43:24
C2,00:09:19,00:08:06,00:47:36
C2,00:09:42,00:08:08,00:47:01
C2,00:09:52,00:08:16,00:39:10
C2,00:11:19,00:08:08,00:46:26
C2,00:10:45,00:08:07,00:45:52
C2,00:11:11,00:08:06,00:39:34
C2,00:12:44,00:08:06,00:43:22
C2,00:11:22,00:08:06,00:41:13
C2,00:11:30,00:08:08,00:46:17
C2,00:12:23,00:08:06,00:47:34
C2,00:12:23,00:08:08,00:42:47
C2,00:11:45,00:08:07,00:39:23
C2,00:12:44,00:08:07,00:42:10
C2,00:11:16,00:08:07,00:40:15
C2,00:13:26,00:08:07,00:45:20
C2,00:11:48,00:08:07,00:43:44
C2,00:11:51,00:08:06,00:41:05
C2,00:11:50,00:08:07,00:42:38
C2,00:11:28,00:08:07,00:41:59
C2,00:12:03,00:08:07,00:40:08
C2,00:10:20,00:08:07,00:37:59
C2,00:11:03,00:08:11,00:43:10
C2,00:11:10,00:08:06,00:38:53
C2,00:11:58,00:08:07,00:43:58
C2,00:12:03,00:08:07,00:44:07
C2,00:10:37,00:08:07,00:37:43
C2,00:10:49,00:08:07,00:38:28
C2,00:11:07,00:08:07,00:42:40
C2,00:11:13,00:08:08,00:44:08
C3,00:11:04,00:08:12,00:39:07
C3,00:10:57,00:08:10,00:35:38
C3,00:09:57,00:08:12,00:42:03
C3,00:11:37,00:08:20,00:33:52
C3,00:10:28,00:08:12,00:42:02
C3,00:10:48,00:08:12,00:37:01
C3,00:11:13,00:08:10,00:37:13
C3,00:14:08,00:08:10,00:39:55
C3,00:11:51,00:08:05,00:38:55
C3,00:11:36,00:08:07,00:37:00
C3,00:11:46,00:08:11,00:39:18
