Cliente,fog,rsync,p2p
C1,00:06:26,00:08:12,00:42:01
C1,00:06:26,00:08:10,00:38:21
C1,00:06:27,00:08:12,00:41:53
C1,00:06:27,00:08:20,00:45:24
C1,00:06:24,00:08:12,00:42:39
C1,00:06:26,00:08:12,00:41:24
C1,00:06:22,00:08:10,00:44:46
C1,00:06:25,00:08:10,00:45:59
C1,00:06:21,00:08:10,00:43:49
C1,00:06:22,00:08:12,00:40:30
C1,00:06:26,00:08:11,00:38:26
C1,00:06:26,00:08:12,00:44:44
C1,00:06:27,00:08:11,00:44:24
C1,00:06:27,00:08:11,00:43:03
C1,00:06:24,00:08:06,00:41:46
C1,00:06:26,00:08:11,00:39:19
C1,00:06:22,00:08:11,00:43:33
C1,00:06:25,00:08:10,00:42:03
C1,00:06:21,00:08:11,00:41:49
C1,00:06:22,00:08:06,00:44:43
C1,00:06:26,00:08:11,00:46:02
C1,00:06:26,00:08:11,00:42:30
C1,00:06:27,00:08:11,00:39:41
C1,00:06:27,00:08:10,00:44:55
C1,00:06:24,00:08:11,00:37:24
C1,00:06:26,00:08:11,00:42:10
C1,00:06:21,00:08:11,00:44:57
C1,00:06:25,00:08:11,00:37:08
C1,00:06:21,00:08:11,00:40:07
C1,00:06:22,00:08:12,00:37:30
C10,00:06:26,00:08:08,00:43:24
C10,00:06:26,00:08:06,00:47:36
C10,00:06:27,00:08:08,00:47:01
C10,00:06:27,00:08:16,00:39:10
C10,00:06:24,00:08:08,00:46:26
C10,00:06:26,00:08:07,00:45:52
C10,00:06:22,00:08:06,00:39:34
C10,00:06:25,00:08:06,00:43:22
C10,00:06:21,00:08:06,00:41:13
C10,00:06:22,00:08:08,00:46:17
C10,00:06:26,00:08:06,00:47:34
C10,00:06:26,00:08:08,00:42:47
C10,00:06:27,00:08:07,00:39:23
C10,00:06:27,00:08:07,00:42:10
C10,00:06:24,00:08:07,00:40:15
C10,00:06:26,00:08:07,00:45:20
C10,00:06:22,00:08:07,00:43:44
C10,00:06:21,00:08:06,00:41:05
C10,00:06:21,00:08:07,00:42:38
C10,00:06:22,00:08:07,00:41:59
C10,00:06:26,00:08:07,00:40:08
C10,00:06:26,00:08:07,00:37:59
C10,00:06:27,00:08:11,00:43:10
C10,00:06:27,00:08:06,00:38:53
C10,00:06:24,00:08:07,00:43:58
C10,00:06:26,00:08:07,00:44:07
C10,00:06:22,00:08:07,00:37:43
C10,00:06:25,00:08:07,00:38:28
C10,00:06:21,00:08:07,00:42:40
C10,00:06:21,00:08:08,00:44:08
C2,00:06:26,00:08:12,00:39:07
C2,00:06:26,00:08:10,00:35:38
C2,00:06:27,00:08:12,00:42:03
C2,00:06:27,00:08:20,00:33:52
C2,00:06:24,00:08:12,00:42:02
C2,00:06:26,00:08:12,00:37:01
C2,00:06:22,00:08:10,00:37:13
C2,00:06:25,00:08:10,00:39:55
