Cliente,Tempo FOG,Tempo RSync,Tempo
C1,00:06:39,00:01:56,00:08:35
C2,00:06:49,00:01:56,00:08:45
C3,00:06:54,00:01:56,00:08:50
C4,00:06:58,00:01:56,00:08:54
C5,00:07:01,00:01:56,00:08:57
C6,00:07:02,00:01:56,00:08:58
C7,00:07:05,00:01:56,00:09:01
C8,00:07:05,00:01:56,00:09:01
C9,00:07:04,00:01:56,00:09:00
C10,00:07:04,00:01:56,00:09:00
C1,00:07:06,00:01:53,00:08:59
C2,00:07:06,00:01:53,00:08:59
C3,00:07:06,00:01:53,00:08:59
C4,00:07:10,00:01:53,00:09:03
C5,00:07:00,00:01:53,00:08:53
C6,00:07:07,00:01:53,00:09:00
C7,00:07:05,00:01:53,00:08:58
C8,00:06:27,00:01:53,00:08:20
C9,00:06:36,00:01:53,00:08:29
C10,00:06:44,00:01:53,00:08:37
C1,00:06:42,00:01:45,00:08:27
C2,00:06:53,00:01:45,00:08:38
C3,00:06:51,00:01:45,00:08:36
C4,00:06:57,00:01:45,00:08:42
C5,00:06:53,00:01:45,00:08:38
C6,00:07:02,00:01:45,00:08:47
C7,00:07:00,00:01:45,00:08:45
C8,00:07:01,00:01:45,00:08:46
C9,00:06:58,00:01:45,00:08:43
C10,00:07:09,00:01:45,00:08:54
C1,00:06:33,00:01:53,00:08:26
C2,00:06:52,00:01:53,00:08:45
C3,00:06:49,00:01:53,00:08:42
C4,00:06:54,00:01:53,00:08:47
C5,00:07:02,00:01:53,00:08:55
C6,00:07:01,00:01:53,00:08:54
C7,00:07:02,00:01:53,00:08:55
C8,00:06:56,00:01:53,00:08:49
C9,00:07:04,00:01:53,00:08:57
C10,00:07:02,00:01:53,00:08:55
C1,00:06:51,00:01:44,00:08:35
C2,00:07:00,00:01:44,00:08:44
C3,00:07:04,00:01:44,00:08:48
C4,00:07:06,00:01:44,00:08:50
C5,00:06:48,00:01:44,00:08:32
C6,00:07:01,00:01:44,00:08:45
C7,00:07:01,00:01:44,00:08:45
C8,00:06:26,00:01:44,00:08:10
C9,00:06:37,00:01:44,00:08:21
C10,00:06:39,00:01:44,00:08:23
C1,00:06:42,00:01:44,00:08:26
C2,00:06:49,00:01:44,00:08:33
C3,00:06:35,00:01:44,00:08:19
C4,00:06:52,00:01:44,00:08:36
C5,00:06:52,00:01:44,00:08:36
C6,00:07:02,00:01:44,00:08:46
C7,00:06:22,00:01:44,00:08:06
C8,00:06:56,00:01:44,00:08:40
C9,00:06:51,00:01:44,00:08:35
C10,00:07:04,00:01:44,00:08:48
C1,00:06:39,00:01:45,00:08:24
C2,00:06:44,00:01:45,00:08:29
C3,00:06:44,00:01:45,00:08:29
C4,00:06:57,00:01:45,00:08:42
C5,00:07:01,00:01:45,00:08:46
C6,00:07:03,00:01:45,00:08:48
C7,00:07:04,00:01:45,00:08:49
C8,00:07:03,00:01:45,00:08:48
